,name,errors,gameCount,errorsPerGame
0,Jacyn Goble,30,11,2.727272727272727
1,Derek Richardson,10,4,2.5
2,John Butler,25,10,2.5
3,Suyash Mehta,14,6,2.3333333333333335
4,Natalie Sago,19,9,2.111111111111111
5,Scott Wall,19,9,2.111111111111111
6,Leon Wood,25,12,2.0833333333333335
7,Tyler Mirkovich,4,2,2.0
8,Rodney Mott,20,10,2.0
9,Kevin Scott,16,8,2.0
10,Pat O'Connell,8,4,2.0
11,Intae Hwang,6,3,2.0
12,Dedric Taylor,34,17,2.0
13,Ben Taylor,28,14,2.0
14,Jenna Reneau,4,2,2.0
15,David Guthrie,32,16,2.0
16,Danielle Scott,6,3,2.0
17,Matt Boland,25,13,1.9230769230769231
18,Phenizee Ransom,17,9,1.8888888888888888
19,Josh Tiven,30,16,1.875
20,Lauren Holtkamp,28,15,1.8666666666666667
21,Nick Buchert,22,12,1.8333333333333333
22,James Williams,23,13,1.7692307692307692
23,Zach Zarba,21,12,1.75
24,Pat Fraher,33,19,1.736842105263158
25,Gediminas Petraitis,31,18,1.7222222222222223
26,Nate Green,17,10,1.7
27,Marc Davis,17,10,1.7
28,Jonathan Sterling,17,10,1.7
29,Tyler Ford,25,15,1.6666666666666667
30,Tre Maddox,15,9,1.6666666666666667
31,CJ Washington,18,11,1.6363636363636365
32,Courtney Kirkland,21,13,1.6153846153846154
33,Scott Twardoski,29,18,1.6111111111111112
34,Tony Brothers,24,15,1.6
35,Ed Malloy,16,10,1.6
36,Karl Lane,22,14,1.5714285714285714
37,Matt Kallio,15,10,1.5
38,Sean Corbin,25,17,1.4705882352941178
39,Mousa Dagher,22,15,1.4666666666666666
40,Sean Wright,19,13,1.4615384615384615
41,James Capers,19,13,1.4615384615384615
42,Matt Myers,20,14,1.4285714285714286
43,Eric Lewis,20,14,1.4285714285714286
44,Ray Acosta,14,10,1.4
45,Brent Barnaky,22,16,1.375
46,Brandon Schwab,11,8,1.375
47,Aaron Smith,19,14,1.3571428571428572
48,Andy Nagy,12,9,1.3333333333333333
49,Jamahl Ralls,4,3,1.3333333333333333
50,J.T. Orr,12,9,1.3333333333333333
51,Robert Hussey,10,8,1.25
52,JB DeRosa,20,16,1.25
53,Jason Goldenberg,12,10,1.2
54,Eric Dalen,6,5,1.2
55,Scott Foster,13,11,1.1818181818181819
56,Mark Lindsay,7,6,1.1666666666666667
57,Michael Smith,7,6,1.1666666666666667
58,Curtis Blair,17,15,1.1333333333333333
59,Brandon Adair,18,16,1.125
60,John Conley,9,8,1.125
61,Mitchell Ervin,20,18,1.1111111111111112
62,Brett Nansel,16,15,1.0666666666666667
63,Justin Van Duyne,16,15,1.0666666666666667
64,John Goble,17,16,1.0625
65,Brian Forte,21,20,1.05
66,Tyler Ricks,2,2,1.0
67,Dannica Mosher,11,11,1.0
68,Evan Scott,6,6,1.0
69,Jenna Schroeder,6,6,1.0
70,Brent Haskill,1,1,1.0
71,Bill Kennedy,10,12,0.8333333333333334
72,Ashley Moyer-Gleich,8,11,0.7272727272727273
73,Kevin Cutler,4,7,0.5714285714285714
74,Marat Kogut,3,6,0.5
75,Tom Washington,1,2,0.5
76,Cheryl Flores,3,8,0.375
77,Sha'Rae Mitchell,1,3,0.3333333333333333
78,Derrick Collins,1,4,0.25
