,teamName,errorsInFavor,errorsAgainst,errorDelta
0,Nuggets,14,23,-9
1,Kings,14,21,-7
2,Jazz,7,14,-7
3,Nets,11,16,-5
4,Mavericks,22,26,-4
5,Bucks,10,13,-3
6,Timberwolves,12,15,-3
7,Suns,9,11,-2
8,Bulls,11,13,-2
9,Knicks,14,16,-2
10,Pelicans,10,11,-1
11,Pacers,19,20,-1
12,Trail Blazers,12,12,0
13,Magic,9,9,0
14,Wizards,7,7,0
15,Spurs,12,11,1
16,Heat,18,17,1
17,Hornets,17,16,1
18,Celtics,17,16,1
19,Grizzlies,11,9,2
20,76ers,20,17,3
21,Pistons,14,11,3
22,Raptors,15,12,3
23,Rockets,9,6,3
24,Hawks,15,12,3
25,Thunder,18,14,4
26,Clippers,12,7,5
27,Warriors,17,12,5
28,Cavaliers,21,16,5
29,Lakers,20,14,6
